,Name,Address,Number,Review,Bookmark,Price_range,category,Subcategory
42,The Grill Room,"5/F, The L. Square, 459-461 Lockhart Road, Causeway Bay",28976838,(1025 Reviews),50432,$201-400,Western,Steak House
43,Chef's Stage Kitchen,"Shop 1056D&1058, 1/F, Discovery Park, 398 Castle Peak Road, Tsuen Wan",27999810,(566 Reviews),14767,$201-400,Western,Hamburger
44,i CREMERiA Café,"Shop 13, 4/F, Langham Place, 8 Argyle Street, Mong Kok",28973908,(740 Reviews),7611,$51-100,Japanese,Dessert
45,Running BBQ Running 燒,"9/F, 726 Nathan Road, Mong Kok",25060380,(814 Reviews),43484,$201-400,Korean,Buffet
46,Plato Cafe & Bistro,"2/F, 483-485 Nathan Road, Yau Ma Tei",34262700,(801 Reviews),42891,$101-200,Italian,Dessert
47,Day and Nite by Master Kama,"1/F, 50 Shan Tung Street, Mong Kok",31060900,(885 Reviews),42729,$51-100,Japanese,Seafood
48,G One Sushi Japanese Restaurant 鮨一日本料理,"18/F, The Lamma Tower, 12 Hau Fook Street, Tsim Sha Tsui",37059227,(625 Reviews),33825,$201-400,Japanese,Sushi/Sashimi
49,Odelice!,"Shop L407, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",25202136,(583 Reviews),25334,$201-400,French,Book
50,J-City 丼瀛,"Flat A, 5/F, Wing Cheung Industrial Building,109 How Ming Street, Kwun Tong",37088705,(556 Reviews),17482,$101-200,Japanese,Sushi/Sashimi
51,Lazy Pot 吞POT 雞煲火鍋.住家菜,"23/F, 726 Nathan Road, Mong Kok",25080002,(586 Reviews),27312,$101-200,Hong Kong Style,Hot Pot
52,Under Vacuum The Steak 慢煮工業,"G/F, 91 Prince Edward Road West, Prince Edward",56903290,(685 Reviews),33716,$51-100,Western,Sandwich
53,Kobekyu 吉列牛忌廉烏冬專門店,"17/F, 726 Nathan Road, Mong Kok",37059965,(677 Reviews),33720,$101-200,Korean,Udon
54,Nathan Left 彌敦左岸,"G/F & 1/F, Hart Avenue Plaza, 5-9 Hart Avenue, Tsim Sha Tsui",23691333,(699 Reviews),22659,$201-400,Western,Seafood
55,Mini Friday,"3/F, The Wave, 4 Hing Yip Street, Kwun Tong",37059174,(689 Reviews),30441,$101-200,Western,Steak House
56,HeSheEat,"Shop 201, 2/F, Causeway Bay, 2-10 Great George Street, Causeway Bay",28682277,(1091 Reviews),18547,$51-100,Western,Dessert
57,Goobne Chicken,"2/F, The HART, 4 Hart Avenue, Tsim Sha Tsui",23110001,(736 Reviews),43749,$101-200,Korean,Korean Fried Chicken
58,Cocina 3 Tapas Restaurant & Bar,"Shop G22, G/F, Olympian City 3, 1 Hoi Wang Road, Tai Kok Tsui",23622313,(708 Reviews),6947,$101-200,Spanish,Bar
59,Arashiyama Japanese Restaurant 嵐山日本料理,"G/F, 11 Minden Avenue, Tsim Sha Tsui",26222095,(561 Reviews),25382,$201-400,Japanese,Sushi/Sashimi
60,Double Cafe 孖啡,"4/F, Ko's House, 577 Nathan Road, Mong Kok",97682318,(701 Reviews),43686,$101-200,Western,Dessert
61,Pom's Kitchen & Deli,"G/F, 7A-7B Tak Hing Street, Jordan",26400388,(581 Reviews),39330,$101-200,Italian,Coffee Shop
62,Wall Is Eat 慢理牆城,"1/F, M1 Hotel, 28 Portland Street, Yau Ma Tei",27106633,(547 Reviews),44021,$101-200,Western,Dessert
63,Hami Harmony,"Shop A, G/F, 161 Sai Yeung Choi Street North, Prince Edward",23270665,(634 Reviews),22568,$101-200,Italian,Dessert
64,Cosmos Restaurant & Bar,"G/F, Tung Wui Commercial Building, 27 Prat Avenue, Tsim Sha Tsui",29482828,(630 Reviews),22848,$101-200,Western,Seafood
65,Thai Chef Thais Restaurant 泰廚泰國菜館,"G/F, 126 Tung Choi Street, Mong Kok",27499900,(796 Reviews),22327,$101-200,Thai,Seafood
66,Hey Pot 喜鍋 海鮮‧火鍋‧小廚,"G/F, 428 Shanghai Street, Mong Kok",27661378,(571 Reviews),6760,$201-400,Hong Kong Style,Hot Pot
67,Hungry Bird 肚餓了串燒烤焗專門店,"6/F, 17-19 Ashley Road, Tsim Sha Tsui",24680438,(771 Reviews),27990,$101-200,Hong Kong Style,Seafood
68,18樓雞煲火鍋專門店,"18/F, Emperor Plaza, 55 Chung On Street, Tsuen Wan",23905390,(584 Reviews),17005,$101-200,Guangdong,Hot Pot
69,Xiao Yu Hotpot Restaurant 渝味曉宇重慶老火鍋,"19/F, Prince Tower, 12A Peking Road, Tsim Sha Tsui",36210893,(571 Reviews),15357,$201-400,Sichuan,Hot Pot
70,Burger Joys,"Shop E, G/F, De Fenwick, 42-50 Lockhart Road, Wan Chai",27871288,(820 Reviews),23773,$101-200,American,Hamburger
71,Espresso Alchemy,"Shop B116, B1, Miramar Shopping Centre, 132 Nathan Road, Tsim Sha Tsui",26741838,(538 Reviews),6072,$101-200,Western,All Day Breakfast
72,Liu Liang San 六両三,"G/F, 3 lchang Street, Tsim Sha Tsui",34622140,(537 Reviews),29275,$51-100,Taiwan,The Hangout by Under Vacuum 慢煮工業
73,The Hangout by Under Vacuum 慢煮工業,"G&1/F, Man On Building, 15-19 Poplar Street, Prince Edward",24682705,(942 Reviews),36051,$101-200,Western,Wine
74,The Grill Room,"2/F, 6-6A Humphrey's Avenue, Tsim Sha Tsui",28976288,(760 Reviews),31046,$201-400,Western,Steak House
75,Ramen Bari-Uma 霸嗎拉麵,"G/F, 26 Kimberley Road, Tsim Sha Tsui",22178300,(786 Reviews),29080,$51-100,Japanese,Ramen
76,Lo Spazio,"7/F, Henry House, 42 Yun Ping Road, Causeway Bay",27789877,(497 Reviews),18088,$201-400,Italian,Seafood
77,Champak Restaurant 青花,"Shop 107-108, 1/F, The Forest, 17 Nelson Street, Mong Kok",34682558,(697 Reviews),28864,$101-200,Thai,Curry
78,Deluxe Daikiya Japanese Restaurant 極尚大喜屋日本料理,"Shop 102, 1/F, Albion Plaza, 2-6 Granville Road, Tsim Sha Tsui",31881988,(707 Reviews),81572,$201-400,Japanese,Sushi/Sashimi
79,The Stadium,"4/F, The Wave, 4 Hing Yip Street, Kwun Tong",93119939,(693 Reviews),29760,$101-200,American,Pizza
80,Happyland 樂園,"Shop 205-06, 2/F, Universal Commercial Building, 65-69 Peking Road, Tsim Sha Tsui",98723948,(874 Reviews),15767,$201-400,Western,Upper-floor Cafe
81,Cambo ขุนทอง,"Shop L403, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",27186022,(887 Reviews),37332,$101-200,Vietnamese,Thai
82,MOO MOO,"Shop 1A, G/F, Hung To Centre, 94-96 How Ming Street, Kwun Tong",94968213,(467 Reviews),6712,$51-100,Western,Hamburger
83,S2 Kitchen,"Shop A, G/F, 51 Wellington Street, Central",28858803,(794 Reviews),24142,$401-800,Japanese,Sushi/Sashimi
84,Fûhn,"1/F, The L. Square, 459-461 Lockhart Road,, Causeway Bay",22198328,(565 Reviews),14175,$101-200,Vietnamese,Noodles/Rice Noodles
85,Fifty Fifty,"Shop C, G/F, 181 Castle Peak Road, Pratas Street, Cheung Sha Wan",36124901,(578 Reviews),12317,$51-100,Italian,All Day Breakfast
86,OPPA Korean Restaurant OPPA韓國燒肉店,"G/F, Kin Wong Manison,117 Sai Yee Street, Mong Kok",23812193,(552 Reviews),20870,$101-200,Korean,Seafood
87,tori izakaya 鳥居居酒屋,"17/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",27177001,(681 Reviews),22526,$201-400,Japanese,Robatayaki
88,Pyeong Chang 平昌,"13/F, CTMA Centre, 1 Sai Yeung Choi Street, Mong Kok",26121682,(436 Reviews),39801,$101-200,Korean,Roast Meat
89,Noodle Noodle 麵麵,"1/F, 726 Nathan Road, Mong Kok",23239229,(589 Reviews),9377,$51-100,Hong Kong Style,Noodles/Rice Noodles
90,Mr. Crab by The Captain's House,"Shop C, G/F-1/F, 74-78 Johnstan Road, Wan Chai",23288511 ,(641 Reviews),22644,$101-200,Western,Seafood
91,Wa Shou Yakiniku 和匠日式燒肉店,"Shop 3, G/F, Tak Wai Building, 23-27 Cheong Lok Street, Jordan",22648928,(715 Reviews),19257,$201-400,Japanese,Roast Meat
92,KEBABEER 串酒里,"Shop B, G/F,  6 Hillwood Road, Tsim Sha Tsui",22345001,(614 Reviews),15888,$201-400,Japanese,Roast Meat
93,琥酌,"G/F, 159A Sai Yeung Choi Street North, Prince Edward",26500505,(532 Reviews),18694,$201-400,Japanese,Roast Meat
94,Crazy Noodles 瘋狂小面,"1/F, Kai Tak Commercail Building, 66-72 Stanley Street, Central",23113905,(474 Reviews),15296,$51-100,Sichuan,Noodles/Rice Noodles
95,Le Viet,"Shop L402, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",23690422,(603 Reviews),18074,$101-200,Vietnamese,Skewer
96,Tsukiji Japanese Restaurant 築地日本料理,"Room R1, 7/F, Island Beverley, 1 Great George Street, Causeway Bay",25043338,(501 Reviews),9836,$101-200,Japanese,Sushi/Sashimi
97,B+BC Cafe 桂花小幸,"Shop 133-135, 1/F, TKO Plaza, 1 Tong Tak Street, Tseung Kwan O",31062238,(486 Reviews),5465,$51-100,Taiwan,Taiwanese Drink
98,XIHEYAYUAN 羲和雅苑,"Shop OTE203, 2/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",21573128,(615 Reviews),21504,$401-800,Beijing,Stir-Fry
99,Outdark,"17/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",27220831,(436 Reviews),23849,$101-200,Korean,Korean Fried Chicken
100,The Right Place,"G/F, 17-19 Prat Avenue, Tsim Sha Tsui",23117212 ,(593 Reviews),14895,$101-200,International,Skewer
101,Let's Jam 一起果醬,"Shop D, G/F, 15-17 Pine Tree Hill Road, Tsim Sha Tsui",39565646,(690 Reviews),26584,$101-200,Western,Dessert
102,Doctor Beans 哈豆,"Room A, 3/F, Fully Industrial Building, 6 Tsun Yip Lane, Kwun Tong",35759455,(450 Reviews),7671,Below $50,Taiwan,Taiwanese Drink
103,Sushi Tokumi 德美壽司,"5/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",23307578,(525 Reviews),20324,$101-200,Japanese,Sushi/Sashimi
104,Bakehouse,"G/F, 14 Tai Wong Street East, Wan Chai",27167868,(432 Reviews),37573,$51-100,Western,Bakery
105,Mini Bangkok Seafood and Grill 小曼谷海鮮燒烤屋,"Shop 1-3, G/F, The Prince Place, 398 Prince Edward Road West, Kowloon City",28073366,(560 Reviews),14397,$101-200,Thai,Seafood
106,Sawadee Thai 泰屋,"2/F, 726 Nathan Road, Mong Kok",25202311,(460 Reviews),12785,$101-200,Thai,Seafood
107,Odelice!,"Shop 9, G/F, 2 Landale Street, Wan Chai",28857867,(609 Reviews),27844,$101-200,French,8Pots HK 8鍋臭臭鍋
108,8Pots HK 8鍋臭臭鍋,"G/F, 77 Kimberley Road, Tsim Sha Tsui",36893113,(648 Reviews),25529,$101-200,Taiwan,Hot Pot
109,1988,"Shop A3, 1/F, Mai Hing Industrial Building Block A, 16-18 Hing Yip Street, Kwun Tong",28865528,(424 Reviews),17084,$51-100,Thai,Dessert
110,Hibiki Japanese Yakiniku 響 - Hibiki 日本燒肉,"1/F, Parkes Residence, 101 Parkes Street, Jordan",27761328,(626 Reviews),21756,$201-400,Japanese,Wine
111,Catee,"G/F, 73 Yeung Uk Road, Tsuen Wan",26371800,(434 Reviews),7674,$201-400,Western,International
112,Waki Shokudo 和氣食堂,"Shop 35, G/F, Garden Rivera, 20-30 Tai Chung Kiu Road, Sha Tin",36223000,(414 Reviews),7909,$101-200,Japanese,Sushi/Sashimi
113,TONO DAIKIYA Japanese Restaurant 殿 大喜屋日本料理,"1/F, 26 Kimberley Road, Tsim Sha Tsui",25375555,(724 Reviews),63586,$201-400,Japanese,Sushi/Sashimi
114,Xuan Sushi 玄鮨,"7/F, Cubus, 1 Hoi Ping Road, Causeway Bay",28878982,(416 Reviews),5385,Above $801,Japanese,Sushi/Sashimi
115,老川皇,"1/F,  Omega Plaza, 32 Dundas Street, Mong Kok",25301022,(613 Reviews),15504,$51-100,Sichuan,Stir-Fry
116,Grill ขุนทอง,"G/F, 17-19 D'Aguilar Street, Lan Kwai Fong, Central",23525699,(571 Reviews),11174,Below $50,Thai,Skewer
117,LAB EAT Restaurant & Bar,"Shop 502, 5/F, T.O.P. This is Our Place, 700 Nathan Road, Mong Kok",27119777,(524 Reviews),30210,$201-400,Western,Seafood
118,i kitchen,"Shop 201, Crown Industrial Building, 106 How Ming Street, Kwun Tong",93415931 (WhatsApp),(501 Reviews),17748,$101-200,International,Book
119,Running Chicken Deluxe 米走雞Deluxe,"3/F, Jardine Centre, 50 Jardine's Bazaar, Causeway Bay",27219833,(432 Reviews),14346,$101-200,Hong Kong Style,Hot Pot
120,Grand Hill Taiwanese Restaurant 圓山台灣料理,"1/F & 2/F, Cheung Lee Commercial Building, 25 Kimberley Road, Tsim Sha Tsui",27181088,(646 Reviews),13143,$201-400,Taiwan,Fine Dried Seafood
121,Orange Elephant Thai Restaurant,"G/F, 31-33 Kai Tak Road, Kowloon City",26061288,(595 Reviews),10569,$101-200,Thai,Babbo Trattoria
122,Babbo Trattoria,"5/F, Plaza 2000, 2-4 Rusell Street, Causeway Bay",66811177,(614 Reviews),16796,$201-400,Italian,Seafood
123,Station 3 Cafe 第三站,"Flat 08-09, 25/F, Golden Era Plaza, 39 Sai Yee Street, Mong Kok",23313838,(699 Reviews),31483,$101-200,Italian,Coffee Shop
124,Big Boils Club 滾得囍宮廷火鍋小炒,"Shop 116-125, 1/F, Marble 33, 33 Marble Road, North Point",61125353,(494 Reviews),12708,$201-400,Guangdong,Hot Pot
125,羅東肉焿番,"Shop 5 , G/F, Kin Fai Building, 69 Fung Cheung Road, Yuen Long",83002868,(438 Reviews),9047,$51-100,Taiwan,Dessert
126,E Pot 一鍋堂,"2/F, East Wing, XX Arcade, 60-104 Soy Street, Mong Kok",26062106,(475 Reviews),15099,$101-200,Hong Kong Style,Hot Pot
