,Name,Address,Number,Review,Bookmark,Price_range,category,Subcategory
164,Imperial 御膳,"Flat F, 12/F, King Win Factory Building, 65-67 King Yip Street, Kwun Tong",34211765,(603 Reviews),15864,$201-400,Guangdong,Seafood
165,Old Time Flavor 古早味台灣原味,"5/F, Kyoto Plaza, 491-499 Lockhart Road, Causeway Bay",24083771,(433 Reviews),14395,$51-100,Taiwan,Taiwanese Drink
166,E Pot 一鍋堂,"11/F, Tai Hung Fai (Tsuen Wan) Centre, 55 Chung On Street, Tsuen Wan",22859477,(442 Reviews),18444,$101-200,Hong Kong Style,Hot Pot
167,Sushi Man 鮨文,"Shop 5, G/F,Lee Fat House, No. 5 Yan Lok Square, Yuen Long",27931688,(541 Reviews),19442,Above $801,Japanese,Sushi/Sashimi
168,HeSheEat,"Shop G15-16, G/F, Luk Yeung Galleria, 22-66 Wai Tsuen Road, Tsuen Wan",25980030,(441 Reviews),3228,$51-100,Western,Dessert
169,The Point - Pizza & Pasta,"Shop 409, L4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",21714268,(518 Reviews),18662,$101-200,Italian,Pizza
170,Ember,"G/F, Universal House, 229-230 Gloucester Road, Causeway Bay",25761968,(527 Reviews),7014,$201-400,Western,Bar
171,PAN de PAIN Pancakes & Sweets,"Shop B111B & B111C, B1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",27233868 ,(810 Reviews),30443,$51-100,Japanese,Dessert
172,Japanese Wagyu Yakiniku Pure 和牛燒肉‧純,"Shop 3,1/F, Hilton Towers, 96 Granville Road, Tsim Sha Tsui",39563122,(500 Reviews),24447,$401-800,Japanese,Roast Meat
173,Ajidouraku 味道樂居酒屋,"G/F, 2 Hanoi Road, Tsim Sha Tsui",25225611,(489 Reviews),9203,$101-200,Japanese,Izakaya
174,Shake Shack,"Shop 4018, 4/F, IFC, 1 Harbour View Street, Central",26607368,(586 Reviews),23483,$51-100,American,Hamburger
175,YoLi 梨滿園韓國料理,"1/F, Witty Commercial Building Deli2, 1A-1L Tung Choi Street, Mong Kok",27210628,(614 Reviews),11408,$101-200,Korean,Korean BBQ
176,BRICK LANE Gallery,"G/F., 17-23 Minden Avenue, Tsim Sha Tsui",24755872,(473 Reviews),26980,$101-200,British,Dessert
177,Mint Thai House 薄荷葉泰國菜,"Shop 12-13, G/F, Yee Hong Building, On Hong Road, Yuen Long",26747688,(816 Reviews),10182,$101-200,Thai,Seafood
178,Steak Bar,"Shop B, G/F, Tang Fai Building , 36-48 Tang Lung Street, Causeway Bay",21919880,(550 Reviews),23774,$201-400,Japanese,Steak House
179,SPICE Restaurant & Bar,"2/F, 1 Knutsford Terrace, Tsim Sha Tsui",37096460,(474 Reviews),7835,$201-400,Indian,Seafood
180,Windmill Restaurant & Bar 風車,"G/F, Kwai Wai Building, 50 Chik Chuen Street, Tai Wai",23888269,(403 Reviews),4205,$51-100,Spanish,Bar
181,Plato Cafe & Bistro,"G/F, 186-188 Woosung Street, Jordan",21800768,(611 Reviews),21674,$101-200,Italian,Dessert
182,Ming Bistro 名館,"1/F, Lyndhurst Tower, 1-7 Lyndhurst Terrace, Central",27822003,(456 Reviews),18598,$101-200,Guangdong,Dim Sum
183,Market Hotpot 鮮入圍煮,"2/F, Dundas Square, 43H Dundas Street, Mong Kok",26578210,(400 Reviews),57157,$201-400,Guangdong,Hot Pot
184,Top Blade Steak Lab,"G/F, 2-4 Hysan Avenue, Causeway Bay",34278822,(318 Reviews),15097,$101-200,Western,Wine
185,Kobekyu 吉列牛忌廉烏冬專門店,"22/F, Bartlock Centre, 3 Yiu Wa Street, Causeway Bay",27701000,(567 Reviews),17199,$101-200,Korean,Ramen
186,Kobe Fusion Restaurant 神戶屋日韓放題,"8/F, CTMA Centre, 1 Sai Yeung Choi Street, Mong Kok",23147088,(1058 Reviews),31639,$201-400,Korean,Sushi/Sashimi
187,Sushi Ma Japanese Restaurant 鮨真,"20/F., 17-19 Ashley Road, Tsim Sha Tsui",35523028,(462 Reviews),9241,Above $801,Japanese,Sushi/Sashimi
188,The Place,"Level L, Cordis, Hong Kong, 555 Shanghai Street, Mong Kok",21406883,(639 Reviews),77590,$401-800,International,Seafood
189,Sansen Japanese Bar and Restaurant 三川居酒屋,"B/F, Circle Plaza, 499 Hennessy Road, Causeway Bay",35655446,(469 Reviews),14380,$101-200,Japanese,Sushi/Sashimi
190,Thai Master Restaurant & Bar 泰斗,"Level 4, Zhongda Building, 38-40 Haiphong Road, Tsim Sha Tsui",27993678,(483 Reviews),23258,$201-400,Thai,"

19:30
+60

"
191,深宵食堂,"6/F, Bartlock Centre, Yiu Wa Street, Causeway Bay",31882628,(562 Reviews),15331,$201-400,Japanese,Skewer
192,Deluxe Daieiki Japanese Restaurant 極尚大瀛喜日本料理,"5/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong",27777006,(609 Reviews),26578,$201-400,Japanese,All-you-can-eat
193,Beans 荳子,"G/F, 99 Hoi Pa Street, Tsuen Wan",21784898,(807 Reviews),26239,$101-200,Western,Dessert
194,Chili Party 麻辣派對,"Shop R1, 4/F, Island Beverley, 1 Great George Street, Causeway Bay",21161979,(488 Reviews),19332,$101-200,Sichuan,Stir-Fry
195,Amour Corner,"G/F, 106 Portland Street, Mong Kok",21177003,(568 Reviews),22647,$201-400,Western,Steak House
196,Sun Thai Restaurant 新泰東南亞餐廳,"Shop 1A, G/F & B/F, BCC Building, 25-31 Carnarvon Road, Tsim Sha Tsui",31888818,(343 Reviews),5999,$101-200,Thai,Curry
197,Daikiya Japanese Restaurant 樂天大喜屋日本料理,"2/F, Chong Hing Square, 593-601 Nathan Road, Mong Kok",26441222,(648 Reviews),49724,$201-400,Japanese,All-you-can-eat
198,Fan Straight Lane 凡直友里,"G/F, Mariana Building, 53-59 Yau San Street, Yuen Long",91650670,(365 Reviews),7642,$101-200,International,Skewer
199,TOMATO C HING 番茄師兄,"G/F, 255 Ki Lung Street, Sham Shui Po",98885104 (WhatsApp),(431 Reviews),15464,$51-100,Hong Kong Style,Noodles/Rice Noodles
200,Running Chicken Live 米走雞Live,"3/F, The Wave, 4 Hing Yip Street, Kwun Tong",23888160,(396 Reviews),20014,$101-200,Hong Kong Style,Hot Pot
201,La Postre,"G/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",25291223,(392 Reviews),19728,$101-200,Spanish,Dessert
202,Shari Shari Kakigori House 氷屋,"G/F, 14 Haven Street, Causeway Bay",28689863,(453 Reviews),22359,$51-100,Japanese,Dessert
